model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,2295.8530492611358,0.17204222217706644,0.18071286551419452,17.11831741471937
linear,2383.18970838856,0.14054583949835242,0.14270020568659014,15.879469361185624
knnR,2832.4710465298235,-0.021479329518658163,-0.01969081389985816,16.008948526522595
svr,2835.315432216534,-0.022505105647142587,0.0057047230186519915,9.471365406935167
ridge,2382.9583023291393,0.14062929189823248,0.14278033945667312,15.870418458883579
lasso,2398.798376164962,0.13491685645386475,0.13691650210529605,15.299831126807625
mlp,2312.1785013651356,0.16615474386031082,0.16766870027914738,14.293680054737465
decisionTree,4579.4668283064375,-0.6515016847435733,-0.6504878124210123,15.225604299087022
ExtraTreeRegressor,6361.352633469502,-1.2941064943379144,-1.2788693687306871,20.53818976077661
RandomForestRegressor,2071.0319817136724,0.2531198641255714,0.27438102998227276,16.707032167689466
