model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,15.852470631070636,-1.7664379777655945,-1.7015612269046465,1.6039691166327936
linear,5.192812896815231,0.09379457981620554,0.15861403504502647,1.4987306551447952
knnR,11.09701485003174,-0.9365563914552564,-0.8619154835230787,1.6778674579020834
svr,6.374997474253675,-0.11251019045376509,0.01303555018359015,1.1270163796094799
ridge,5.240338090727326,0.08550088829020441,0.14780582861712843,1.4983276049789283
lasso,3.7721178360775016,0.3417221655103614,0.3902131947869609,1.327968029316233
mlp,5.576057318200462,0.02691403187127628,0.1448394306464389,1.4977936392446312
decisionTree,8.839442795798218,-0.5425841701074408,-0.5409160402115634,1.3044647030729166
ExtraTreeRegressor,13.069855323807687,-1.2808396856964546,-1.2178746109501435,1.6834956754802082
RandomForestRegressor,4.986561896248676,0.1297877454367834,0.17705213133250552,1.1890459494339705
