model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,1137.880868507801,-1.4110444578742758,-1.3994661530956418,14.682487092970405
linear,423.8483859082797,0.10191186959383447,0.16886863844657185,14.34398070562373
knnR,767.5091666666667,-0.626267541597817,-0.5545778394356797,16.599999999999998
svr,552.924815237574,-0.17158689305318164,0.0038577973704477797,14.113024392268228
ridge,428.41553447991265,0.09223458389839556,0.15729377405497824,14.346814077228984
lasso,397.67859087289435,0.15736278807752013,0.21576517721757227,13.308896252151584
mlp,481.47602815508577,-0.020194768548109865,0.0679006597542432,13.861487209979385
decisionTree,778.4479166666666,-0.6494455502044283,-0.6420788665777508,15.572916666666666
ExtraTreeRegressor,3919.9817708333335,-7.306010396264169,-7.2044893868117015,21.088541666666668
RandomForestRegressor,404.47437276821097,0.14296327339272508,0.19484059661855402,11.764006955717894
