model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,120.92853591798266,-1.694670480162836,-1.6935205497662595,2.283379164652676
linear,41.267310064828685,0.08043373399607745,0.08120246368488204,1.9359432533192402
knnR,54.43895775889142,-0.2130722606549149,-0.2125910960906996,2.1061461979107694
svr,44.967059837169806,-0.0020083994494020097,0.014344468598448845,1.7687744649594612
ridge,41.267169733402746,0.08043686102435121,0.0812059544945265,1.9358474187174977
lasso,41.45831587834569,0.0761775199989706,0.07703974405624647,1.9197796567134076
mlp,42.68263293897767,0.04889586131848933,0.04919559749507507,1.8582109722074738
decisionTree,88.53709533445593,-0.9728866754736205,-0.9673119759158586,2.879213762848709
ExtraTreeRegressor,121.74548552440925,-1.7128747027766895,-1.7121807044762445,3.256755828601085
RandomForestRegressor,42.846913304724794,0.045235174875139283,0.04575715269430791,1.7986744578760656
