model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,13.291394308815157,0.13582494706349835,0.13716596841146123,1.7039183156393511
linear,10.58057389903782,0.31207608495705996,0.3122277878579467,1.7164721913104677
knnR,14.068356160880871,0.0853087232544415,0.08531971716871911,1.8206821564946956
svr,13.795794381663208,0.10303004612781941,0.15571528666780154,1.5428114726298328
ridge,10.581783512759172,0.3119974387309835,0.3121485387160574,1.7163391521705218
lasso,11.261865166685327,0.26778013649558174,0.2679688645344426,1.6971729619099725
mlp,43.58749623842171,-1.8339560165050464,-1.5175555665152434,2.929627319601933
decisionTree,23.96423595107477,-0.5580979986326924,-0.5563496179092784,2.036861758745878
ExtraTreeRegressor,50.0260893129168,-2.2525781250447174,-2.223054972475278,2.37850681606988
RandomForestRegressor,13.386370475398408,0.129649821122772,0.12965031997967547,1.4916957956691625
