_id,month,date,journal_ifactor,publication_type,oa_type,fund_count,fund_class,author_count,instituion_count,cooperate_way,avg_author_cited,author_cited,literature_length,Language,Cited Reference Count,"Times Cited, All Databases",DOI,country,new_oa_type
65facae3ef3ccaced9d70750,7,2018-7-01,2,J,"Green Accepted, Green Submitted",1,,3,1,2,,,15,English,42,0,10.1093/cje/bey002,中国,
65facae4ef3ccaced9d70751,5,2018-5-01,1.5,J,Green Submitted,1,,3,1,2,,,19,English,28,18,10.1111/1468-0106.12267,中国,
65facae4ef3ccaced9d70752,,,3.08,J,"hybrid, Green Published",3,,3,1,2,,,22,English,54,11,10.1080/1331677X.2018.1442235,中国,
65facae4ef3ccaced9d70753,,,3.08,J,hybrid,1,,4,1,2,,,14,English,52,4,10.1080/1331677X.2018.1429294,中国,
65facae5ef3ccaced9d70754,2,2018-2-01,1.2,J,"Green Published, hybrid",1,,3,1,2,,,17,English,30,1,10.1007/s11079-017-9469-5,中国,
65facae5ef3ccaced9d70755,2,2018-2-01,6.8,J,Green Submitted,1,,3,1,2,,,13,English,44,106,10.1016/j.chieco.2017.09.004,中国,
65facae6ef3ccaced9d70756,9,2018-9-01,1.1,J,Green Accepted,3,,3,1,2,,,26,English,39,2,10.1111/manc.12236,中国,
65facae6ef3ccaced9d70757,8,2018-8-01,9.8,J,hybrid,1,,3,1,2,,,20,English,60,262,10.1016/j.jpubeco.2018.05.009,中国,
65facae6ef3ccaced9d70758,7,2018-7-01,1.1,J,Green Submitted,2,,2,1,2,,,46,English,74,3,10.1007/s11403-016-0187-7,中国,
65facae7ef3ccaced9d70759,,,3.08,J,"hybrid, Green Published",1,,3,1,2,,,21,English,30,0,10.1080/1331677X.2018.1484783,中国,
65facae7ef3ccaced9d7075a,6,2018-6-01,0.9,J,Green Submitted,4,,3,1,2,,,26,English,50,11,10.1017/S1365100516000420,中国,
65facae8ef3ccaced9d7075b,,,,J,"Green Submitted, gold",1,,6,1,2,,,,English,38,81,10.5018/economics-ejournal.ja.2018-23,中国,
65facae8ef3ccaced9d7075c,1,2018-1-01,3.3,J,Green Published,7,2,3,1,2,200,600,21,English,44,84,10.1016/j.jinteco.2017.10.001,中国,green
65facae8ef3ccaced9d7075d,,,,,,3,2,4,1,2,49,196,23,English,56,4,10.3846/20294913.2016.1213198,中国,gold
65facae8ef3ccaced9d7075e,,,,,,3,1,7,1,2,11,77,23,English,62,20,10.3846/tede.2018.5487,中国,gold
65facae8ef3ccaced9d7075f,11,2018-11-01,3.3,J,Green Published,2,2,4,1,2,23.75,95,13,English,41,9,10.1016/j.jinteco.2018.07.007,中国,green
65facae9ef3ccaced9d70760,10,2018-10-01,12.8,J,hybrid,5,,2,1,2,72,144,14,English,51,142,10.1016/j.eneco.2018.10.031,中国,hybrid
65facae9ef3ccaced9d70761,9,2018-9-01,2,J,hybrid,6,2,3,1,2,421,1263,4,English,13,0,10.1016/j.econlet.2018.06.018,中国,hybrid
65facae9ef3ccaced9d70762,8,2018-8-01,6.8,J,hybrid,3,,2,1,2,35,70,15,English,64,16,10.1016/j.chieco.2017.10.005,中国,hybrid
65facaeaef3ccaced9d70763,5,2018-5-01,,J,Bronze,1,2,2,1,2,257,514,26,English,50,20,10.1111/caje.12328,中国,bronze
65facaeaef3ccaced9d70764,3,2018-3-01,2.4,J,Green Published,2,,3,1,2,96,288,40,English,68,9,10.1007/s10888-017-9352-z,中国,green
65facaeaef3ccaced9d70765,,,,,,5,1,4,1,2,95,380,16,English,35,24,10.3846/tede.2018.1430,中国,gold
65facaebef3ccaced9d70766,11,2018-11-01,1.5,J,Green Submitted,1,2,3,1,2,0,0,28,English,33,1,10.1111/iere.12333,中国,green
65facaebef3ccaced9d70767,11,2018-11-01,1.8,J,hybrid,1,1,3,1,2,5.333333333333333,16,21,English,42,16,10.1142/S021759081742005X,中国,hybrid
65facaecef3ccaced9d70768,10,2018-10-01,6.8,J,Green Submitted,2,1,2,1,2,98.5,197,15,English,25,12,10.1016/j.chieco.2017.06.007,中国,green
65facaecef3ccaced9d70769,8,2018-8-01,6.2,J,Bronze,6,2,3,1,2,70.33333333333333,211,43,English,23,12,10.1111/ecoj.12528,中国,bronze
65facaedef3ccaced9d7076a,8,2018-8-01,2.4,J,"Green Accepted, Green Submitted",1,2,2,1,2,154.5,309,19,English,22,27,10.1016/j.labeco.2018.05.005,中国,green
65facaedef3ccaced9d7076b,,,,J,Green Submitted,6,,2,1,2,3.5,7,,English,55,7,10.5018/economics-ejournal.ja.2018-44,中国,green
65facaeeef3ccaced9d7076c,6,2018-6-01,4.7,J,Green Accepted,3,1,3,1,2,212.33333333333334,637,9,English,50,8,10.1016/j.econmod.2018.04.002,中国,green
65facaeeef3ccaced9d7076d,,,3.08,J,"hybrid, Green Published",1,2,5,1,2,2.4,12,12,English,35,12,10.1080/1331677X.2018.1456357,中国,hybrid
65facaeeef3ccaced9d7076e,4,2018-4-01,6.8,J,Green Submitted,2,1,2,1,2,14,28,19,English,71,28,10.1016/j.chieco.2017.10.008,中国,green
65facaefef3ccaced9d7076f,3,2018-3-01,1.9,J,Green Published,7,,4,1,2,362.25,1449,33,English,53,59,10.1016/j.jedc.2018.01.023,中国,green
65facaefef3ccaced9d70770,2,2018-2-01,1.5,J,Green Published,1,2,4,1,2,79,316,13,English,35,1,10.1111/1468-0106.12255,中国,green
65facaf0ef3ccaced9d70771,11,2018-11-01,1.5,J,"Green Published, Green Submitted",1,2,3,1,2,28.333333333333332,85,36,English,35,5,10.1016/j.ijindorg.2018.08.003,中国,green
65facaf0ef3ccaced9d70772,8,2018-8-01,,J,"Bronze, Green Published, Green Submitted",14,,4,1,2,12.25,49,42,English,63,12,10.1257/mic.20150259,中国,bronze
65facaf0ef3ccaced9d70773,5,2018-5-01,2,J,hybrid,1,1,2,1,2,17,34,4,English,19,9,10.1016/j.econlet.2018.01.026,中国,hybrid
65facaf1ef3ccaced9d70774,2,2018-2-01,12.8,J,Green Submitted,7,,6,1,2,137,822,14,English,34,143,10.1016/j.eneco.2017.12.030,中国,green
65facaf1ef3ccaced9d70775,1,2018-1-01,4.7,J,Green Accepted,2,2,2,1,2,286.5,573,3,English,16,14,10.1016/j.econmod.2017.08.003,中国,green
65facaf1ef3ccaced9d70776,,,,,,7,2,6,1,2,5.166666666666667,31,17,English,59,11,10.3846/20294913.2017.1352050,中国,gold
65facaf1ef3ccaced9d70777,,,,,,2,1,3,1,2,16,48,18,English,45,48,10.3846/tede.2018.5494,中国,gold
65facaf1ef3ccaced9d70778,,,,,,4,1,4,1,2,243.25,973,19,English,35,4,10.3846/tede.2018.249,中国,gold
65facaf1ef3ccaced9d70779,7,2018-7-01,2.8,J,Green Submitted,1,2,4,1,2,28.75,115,22,English,40,2,10.1016/j.euroecorev.2018.04.001,中国,green
65facaf2ef3ccaced9d7077a,6,2018-6-01,2,J,"Green Submitted, hybrid",2,,3,1,2,284.6666666666667,854,6,English,17,4,10.1016/j.econlet.2018.02.023,中国,hybrid
65facaf2ef3ccaced9d7077b,1,2018-1-01,2,J,hybrid,2,2,3,1,2,136.33333333333334,409,3,English,15,29,10.1016/j.econlet.2017.10.015,中国,hybrid
65facaf2ef3ccaced9d7077c,,,,,,2,2,1,1,0,242,242,7,English,35,1,10.5755/j01.ee.29.1.5444,中国,gold
65facaf2ef3ccaced9d7077d,12,2018-12-01,1.6,J,Green Submitted,1,2,3,1,2,1221,3663,21,English,48,4,10.1007/s00199-017-1073-9,中国,green
65facaf3ef3ccaced9d7077e,,,3.08,J,"hybrid, Green Published",1,2,4,1,2,1.25,5,18,English,60,5,10.1080/1331677X.2018.1498007,中国,hybrid
65facaf3ef3ccaced9d7077f,9,2018-9-01,2,J,Green Published,2,2,3,1,2,23.666666666666668,71,4,English,17,15,10.1016/j.econlet.2018.06.002,中国,green
65facaf4ef3ccaced9d70780,7,2018-7-01,2,J,Green Submitted,1,2,3,1,2,60,180,4,English,8,9,10.1016/j.econlet.2018.04.017,中国,green
65facaf4ef3ccaced9d70781,5,2018-5-01,1.5,J,Green Published,6,,3,1,2,122,366,16,English,34,8,10.1111/iere.12283,中国,green
65facaf4ef3ccaced9d70782,,,,,,1,2,5,1,2,0.6,3,12,English,27,3,10.3846/tede.2018.247,中国,gold
65facaf4ef3ccaced9d70783,,,,,,1,2,3,1,2,8.666666666666666,26,37,English,90,17,10.3846/20294913.2016.1213195,中国,gold
65facaf4ef3ccaced9d70784,9,2018-9-01,3.3,J,Green Submitted,2,1,3,1,2,126.66666666666667,380,19,English,52,81,10.1016/j.jinteco.2018.05.003,中国,green
65facaf5ef3ccaced9d70785,9,2018-9-01,12.8,J,hybrid,1,1,4,1,2,9.25,37,10,English,41,37,10.1016/j.eneco.2018.09.001,中国,hybrid
65facaf5ef3ccaced9d70786,6,2018-6-01,6.2,J,"Bronze, Green Submitted, Green Accepted",2,2,3,1,2,0,0,38,English,34,7,10.1111/ecoj.12476,中国,bronze
65facaf6ef3ccaced9d70787,5,2018-5-01,1.5,J,Green Submitted,1,2,2,1,2,8,16,29,English,28,16,10.1016/j.ijindorg.2018.03.009,中国,green
65facaf6ef3ccaced9d70788,3,2018-3-01,2.2,J,Green Published,1,2,2,1,2,53.5,107,12,English,21,1,10.1016/j.jebo.2017.12.023,中国,green
65facaf6ef3ccaced9d70789,,,,,,1,2,4,1,2,129.5,518,25,English,56,0,10.15611/aoe.2018.2.02,中国,green
65facaf7ef3ccaced9d7078a,,,3.08,J,"Green Published, hybrid",3,1,4,1,2,0,0,21,English,36,3,10.1080/1331677X.2018.1484787,中国,hybrid
65facaf7ef3ccaced9d7078b,11,2018-11-01,5,J,Green Submitted,1,2,4,1,2,67,268,11,English,24,13,10.1016/j.jdeveco.2018.07.005,中国,green
65facaf7ef3ccaced9d7078c,6,2018-6-01,6.8,J,Green Published,3,2,3,1,2,66.66666666666667,200,12,English,35,17,10.1016/j.chieco.2017.06.004,中国,green
65facaf8ef3ccaced9d7078d,4,2018-4-01,4.7,J,Green Submitted,2,1,2,1,2,144,288,13,English,57,7,10.1016/j.econmod.2017.12.012,中国,green
65facaf8ef3ccaced9d7078e,11,2018-11-01,1.5,J,Green Submitted,2,2,2,1,2,29,58,33,English,35,2,10.1016/j.ijindorg.2018.08.008,中国,green
65facaf8ef3ccaced9d7078f,,,,J,"gold, Green Submitted",4,1,4,1,2,2.25,9,,English,34,0,10.5018/economics-ejournal.ja.2018-58,中国,gold
